Problem Name, Problem Text, Topic Name, Difficulty
2 Eggs, "An Egg breaks only if dropped from above a threshold floor, within a
100 story building. Every time you drop the egg, it is counted an attempt. You are given two eggs, find an algorithm to deduce the threshold floor, with minimum number of attempts in worst case. Find the minimum number of tries required with that algorithm ?",  Puzzles,  Easy
Russian roulette series, "You are in a deadly game in which a single bullet is placed in a
6-chamber revolver, and the barrel is randomly spun. Two players take turns to pull the trigger, with the gun pointing at their own head, until the gun goes off and the person who gets killed loses. Consider the scenario, two bullets are randomly placed in the chamber, and your opponent played the first round but survived. You are given the option to spin the barrel. Should you spin the barrel or not?",  Probability,  Easy
Coin Problem, "Suppose you have an infinite stock of
$a bills and
$b bills such that
GCD(a,b)=1. Find the largest amount of money (integer) that cannot be represented using
$a and
$b denominations. Compute for a=5 & b=7",  Discrete Maths,  Medium
Pure Gold, "You are given
32 coins which look identical. But actually some of them are pure gold coins (hence are heavy) and the rest are aluminium coins with thin gold plating (light). You are given one beam balance with two pans. What is the number of weighing required to separate the gold from fake coins? (all gold coins have equal weights & all fake coins too have the same weight)",  Discrete Maths,  Hard
Dice game II, "You can roll a
6-side dice up to
3 times. After the first or the second roll, if you get a number x, you can decide either to get
x dollars or to choose to continue rolling. But once you decide to continue, you forgo the number you just rolled. If you get to the third roll, you'll just get
x dollars if the third number is
x and the game stops. What is the game worth and what is your strategy?",  Expected Value,  Medium
Expected Rolls I, "On average, how many times do you need to roll a
6-sided die until all sides have appeared at least once?",  Expected Value,  Medium
Coin piles, "Imagine yourself standing in a room with a blindfold on. You are informed that there are
1000 coins scattered on the floor. Out of those coins,
980 have tails facing upwards while the remaining
20 have heads facing upwards. You are given a task to separate the coins into two piles. Can you ensure that both piles have an equal number of heads facing upwards? However, you are not allowed to touch or feel the coins to determine their sides, but you can flip over as many coins as you want.",  Puzzles,  Medium
Burning Cords, "You are given two cords that both burn exactly one hour, not necessarily with constant speed. Can you determine a time interval of exactly
15 minutes by burning cords in some particular order?",  Puzzles,  Easy
Waiting for the Train, "Spiderman has two girlfriends, Mary Jane & Gwen Stacy. After every mission, he rushes to the central subway. Since spidey is a nice man, much impartial, he takes which-ever train arrives first. From subway, one series go towards Mary's place, and another series move towards Stacy.",  Puzzles,  Easy
Shooting in Circle, "100 pirates stand in a circle. They start shooting alternately in a cycle such that
1
st
pirate shoots
2
nd
,
3
rd
shoots
4
th
and so on. They continue in circle till only one pirate is left. Which position should Captain Jack Sparrow stand to survive?",  Discrete Maths,  Easy
Chess Tournament, "A chess tournament has
K levels and
2
K
players with skills
1>2>...>2
K
. At the first level, players are randomly given a slot from
1 to
2
K
. Players with adjacent slots play together ( slot 1 with slot 2, slot 3 with slot 4 ans so on) and one person from each pair proceeds to next level in a knockout tournament style. When two opponents play, the one with better skills always wins. What is the probability that players
1 and
2 will meet in the final level, if they participate in a tournament of 8 players?",  Probability,  Easy
Dark Room Deck, "In a dark room, there is a deck of
52 cards, with exactly
10 cards facing up, rest facing down. Can you split this into two decks with equal number of cards facing up?",  Strategy Game,  Easy
Boys and girls, "A company is hosting a dinner for working mothers who have at least one son. Ms. Jackson, a mother with two children, has been invited to the event. What are the chances that both of her children are boys?",  Probability,  Easy
Expected Breakup Length, "A stick is broken into
3 pieces, by randomly choosing two points along its unit length, and cutting it. What is the expected length of the middle part?",  Expected Value,  Easy
Single Bid, "You have an opportunity to make one bid on an object, whose value to its owner is, as far as you know, uniformly random integer between 0 and 100. What you do know is that you are so much better at operating the widget than he is, that its value to you is 80% greater than its value to him. If you offer more than the widget is worth to the owner, he will sell it. But you get only one shot. How much should you bid?",  Expected Value,  Medium
Screwy pirates II, "Once the pirate team had divided their loot peacefully, their group became bigger with total of
11. However, they needed a secure way to protect their hard-earned treasure. They decided to put all their loot in a safe, but being a democratic group, they agreed that the safe should only be opened by a majority of them, which means more than
5 pirates. For this reason, they hired a locksmith to put locks on the safe. To access the treasure, all locks must be opened, and each lock can only be opened with one key. The locksmith can provide multiple keys to each pirate.",  Combinatorics,  Easy
Overlapping Coins, "A rectangular table has 100 coins with unit radius, placed on it such that none of the coins overlap, and it is impossible to place any more coins on the table without causing an overlap. Using this specific configuration, does there exist a special configuration of 400 coins which covers the table with overlaps?",  Geometry,  Medium
Coin Triplets, "You're playing a coin-tossing game where you flip a fair coin repeatedly until you get either
HHH or
THH consecutively. What is the probability of getting an
HHH subsequence before a
THH subsequence?",  Probability,  Medium
Crazy Postman, "A postman brought
5 letters to a house with two letter-boxes. Since the two boxes were empty, he puts 1 mail in each of the two mail boxes. Then he chooses one of boxes with probability proportional to number of letters present in that box, and puts the 3rd letter in it. He does this for all subsequent letters. What is the expected number of letters in the box with lower letters?",  Expected Value,  Medium
Accidents in Half Time, "Probability of accidents on a road in one hour is
4
3
. What is the probability of accidents in half hour?",  Probability,  Easy
Multilingual, "A group has
70 members. For any two members
X and
Y there is a language that
X speaks but
Y does not, and there is a language that
Y speaks but
X does not. At least how many different languages are spoken by the members of this group?",  Combinatorics,  Medium
King's Salary, "After the revolution, each of the
66 citizens of a certain city, including the king, has a salary of
1. King cannot vote, but has the power to suggest changes - namely, redistribution of salaries. Each person's salary must be a whole number of dollars, and the salaries must sum to
66. He suggests a new salary plan for every person including himelf in front of the city. Citizens are greedy, and vote yes if their salary is raised, no if decreased, and don't vote otherwise. The suggested plan will be implemented if the number of "yes" votes are more than "no" votes. The king is both, selfish and clever. He proposes a series of such plans. What is the maximum salary he can obtain for himself?",  Puzzles,  Easy
Dart game, "Jason is a skilled dart player who aims for the center of the dartboard. During a game, he throws two darts consecutively and unfortunately, the second dart lands farther from the center than the first. Now, he is about to throw his third dart aiming for the center. What is the likelihood that his third throw will be farther from the center than his first throw? Let's assume that Jason's skill level remains constant.",  Probability,  Easy
Dice order, "We throw
3 dice one by one. What is the probability that we obtain
3 points in strictly increasing order?",  Probability,  Easy
Quick Summation, "What is the sum of the integers from 1 to 50, inclusive?",  Discrete Maths,  Easy
Card game II, "Imagine you're at a casino and you come across a simple card game. The deck has
52 cards with four cards each of the jack, queen, king, and ace, as well as values
2 through
10, a jack, a queen, a king, and an ace. The cards are shuffled thoroughly before each game, ensuring that each card has an equal chance of being selected. In this game, you and the dealer each pick up one card without replacement. If your card has a larger value, you win. However, if the values are equal or your card has a smaller value, the house wins. As is typical with most casino games, the house has better odds of winning. What is the probability of winning this game if you choose to play?",  Probability,  Easy
Last ball, "A bag is filled with blue and red balls. There are
20 blue balls and
13 red balls in the bag. Every time you pick out two balls at random, without returning them to the bag. If the two balls are of the same color, you add a blue ball to the bag. If the two balls are of different colors, you add a red ball to the bag. You have an infinite supply of both blue and red balls. If you keep repeating this process, what color will the last ball in the bag be?",  Discrete Maths,  Easy
Catching the Submarine, "On a 2D plane, an aircraft hovers above sea, trying to catch a submarine moving with a constant velocity under the sea. The submarine is completely invisible, but using a human radar only once, the aircraft knows the exact location of submarine under the sea. The direction of submarine is unknown, but constant. The aircraft can move at twice the speed of submarine. As soon as the aircraft is just vertically above the submarine, Aircraft can magnetically pick it up. Can the aircraft catch the submarine? If yes, also figure out the time it would take, if no, prove why?",  Discrete Maths,  Hard
Crazy Clock, "There is a crazy clock in Alice's Dream, it has two hands initially pointing at 12. The minute hand moves clockwise, making 5 rounds (with varying speeds) and comes back to 12. In the same time, the hour hand goes anti-clock wise, finishing 4 rounds and returns to 12. How many times did the two cross each other ? (Cross means meet & pass through, hence ignore start & end)",  Puzzles,  Easy
World series, "In the World Series finals, the Boston Red Sox and the Colorado Rockies are facing each other. The championship goes to the team is the first to win four out of the maximum seven games. You want to bet on the Red Sox and have
100 dollars to place a double-or-nothing wager on each game. Unfortunately, you can only bet on each individual game, not the series as a whole. How much should you bet on each game so that if the Red Sox wins the whole series, you win exactly
100 dollars, and if Red Sox loses, you lose exactly
100 dollars?",  Strategy Game,  Hard
Expected Rolls III, "On average, how many rolls would it take to get two of the same face when rolling a fair die?",  Expected Value,  Hard
Rabbit's Chance of Making One Leftwards Jump, "A rabbit started at stone
1 in a row of
7 stones, labelled
1 to
7 from left to right. On each turn, the rabbit hopped to a new stone that it hadn't visited yet. What is the probability that the rabbit made exactly one leftwards jump after visiting all the stones?",  Probability,  Hard
Distance from North Pole, "What is the expected distance of any point on Earth and the north pole? Take Earth radius 1.",  Expected Value,  Hard
Coin toss game II, "Two friends named
A and
B are playing a coin-tossing game. They take turns tossing a fair coin. If the sequence of heads and tails forms a
HT subsequence, the game ends and the player who tosses the tail wins.
A goes first, followed by
B, and the game continues in this pattern. What is the chance of
A winning the game?",  Probability,  Medium
Race to the Tree!, "Johnny and you were playing a game. Johnny was standing
10m away from the centre of a circular tree with a radius of
1m, while you were standing on the opposite side of the tree, also
10m away from the centre. The game was that if you could reach the tree without being seen, you would win, but if Johnny could see you without his line of sight being blocked by the tree, he would win.",  Geometry,  Hard
Door to offer, "You are facing two doors. One leads to your job offer and the other leads to exit. In front of either door is a guard. One guard always tells lies and the other always tells the truth.",  Puzzles,  Easy
Have we met before?, "If there are
6 people at a party (including you), then either at least
3 people met each other before the party, or at least
3 people were strangers before the party. Is this true?",  Discrete Maths,  Medium
Sharing Wood, "A,B &
C live together and share everything equally. One day
A brings home
5 logs of wood,
B brings
3 logs and
C brings none. Then they use the wood to cook together and share the food. Since
C did not bring any wood, he gives
8 dollars instead. How much to
A and how much to
B?",  Discrete Maths,  Easy
Monty Hall Problem, "Suppose you're on a game show, and you're given the choice of three doors: Behind one door is a car; behind the others, goats. You pick a door, say No.
1, and the host, who knows what's behind the doors, opens another door, say No.
3, which has a goat. He then says to you, "Do you want to pick door No.
2?". What is the probability to win car if you switch?",  Probability,  Easy
Ticket line, "At a theater ticket office, there are
2n people waiting to buy tickets.
n of them have only
5 bills, while the other
n people have only
10 bills. Unfortunately, the ticket seller has no change to start with. Each person wants to buy one
5 ticket. What are the chances that everyone can successfully buy their ticket without having to change places, if there are a 12 people in line (n = 6) ?",  Probability,  Hard
Dice question, "Two friends, Alex and Ben, enjoy playing a game of dice. They roll a pair of standard six face die and record the sum. They place a bet on who will get the desired result first. Alex is optimistic and bets that the sum
12 will appear first. Meanwhile, Ben places his bet on two consecutive
7s. They continue playing until one of them reaches their winning condition. What is the probability of Alex winning?",  Probability,  Medium
Rolling 6 Twice, "On average, how many times must a
6-sided die be rolled until two
6s appear consecutively?",  Expected Value,  Easy
Birthday line, "At a movie theater you are waiting in line and the manager suddenly announces a whimsical giveaway. She will give a free ticket to the first person in line whose birthday matches with someone who has already bought a ticket. You have the opportunity to choose any position in line. However, you do not know anyone else's birthday and all birthdays are evenly distributed throughout the year (assuming
365 days in a year). Which position in line will give you the best chance of getting the free ticket?",  Probability,  Medium
Non-Fair vs Fair, "Rolling a non-fair die has a greater probability of rolling doubles than rolling a fair die. Is this statement true?",  Probability,  Hard
Consecutive Heads, "What is the expected number of coin tosses required to get
5 consecutive heads?",  Expected Value,  Medium
Bricking Box, "Can you pack 53 bricks of dimensions
1x
1x
4 into a
6x
6x
6 box? The faces of the bricks are parallel to the faces of the box",  Discrete Maths,  Hard
Sum To One, "On pressing a button, a random number is generated uniformly between
0 &
1. You keep on generating these numbers until their sum exceeds
1. What is the expected number of times you need to press the button?",  Probability,  Hard
Matching socks, "Imagine yourself as a busy
MIT student who has a drawer filled with
2 red socks,
20 yellow socks, and
31 blue socks. You have a tendency to be absent-minded, so you randomly grab socks from the drawer to wear. Assuming that each sock has an equal chance of being selected, how many socks do you need to pull out of the drawer to guarantee that you have a pair of socks in the same color?",  Discrete Maths,  Easy
Chameleon colors, "On a distant island, there are three kinds of chameleons:
13 are red,
15 are green, and
17 are blue. When two chameleons of different colors encounter each other, they change their color to the third color. For instance, if a green chameleon and a red chameleon meet, they both become blue. Can all the chameleons ever be the same color?",  Discrete Maths,  Hard
Quant salary, "Eight quants from different banks are getting together for drinks. They are all interested in knowing the average salary of the group. Nevertheless, being cautious and humble individuals, everyone prefers not to disclose his or her own salary to the group. Is it possible to calculate the average salary without knowing other people's salaries?",  Discrete Maths,  Easy
Breaking Stick, "The stick drops and breaks at a random point distributed uniformly across the length. What is the expected length of the smaller part, if the original stick if of length
20m?",  Expected Value,  Easy
Wise men, "Once upon a time, Sultan had captured
50 wise men and kept them in separate rooms. He had a glass that was currently standing bottom down. The Sultan calls one of them every minute, and they can choose to turn the glass over or do nothing. The wise men will be called randomly, and it could happen an infinite number of times. The only way for the wise men to be released was if one of them correctly stated that they have all been called to the Sultan at least once. If the statement was wrong, everyone would be put to death. Before they were imprisoned in separate rooms, they were allowed to communicate only once.",  Puzzles,  Easy
Weights Reckoning, "We have a beam balance (with two pans to compare weights) and a positive integer
121. Also, we have 121 pebbles with weights from
{1,2,...121}. What is the minimum number of pebbles we need to weigh all possible integers from
1 to
121?",  Discrete Maths,  Easy
Drunk man, "A man had too much to drink and is standing on a bridge that is
100 meters long. He is currently at the
17
th
meter but has a tendency to either move forward or backward one meter with a
50% chance for each step he takes. What are the chances that he will make it to the end of the bridge (the
100
th
meter) before he returns to the beginning (the
0
th
meter)?",  Probability,  Hard
Red Dead Redemption, "In a room stand
n armed and angry people. At each chime of a clock, everyone simultaneously spins around and shoots a random other person. The persons shot fall dead and the survivors spin and shoot again at the next chime. Eventually, either everyone is dead or there is a single survivor.As
n grows, what is the limiting probabality that there will be a survivor?",  Probability,  Hard
Trailing zeros, "How many trailing zeros are there in 100! (factorial of 100)?",  Discrete Maths,  Easy
Lucky Candy, "How do you place
50 good candies and
50 rotten candies in two boxes such that if you choose a box at random and take out a candy at random, it better be good! That means probability of choosing a good candy should be highest.",  Probability,  Easy
Rolling 6 on a Die, "On average, how many times must a 6-sided die be rolled until a 6 turns up?",  Expected Value,  Easy
Basketball scores, "A basketball player decided to practice his free throws. He has exactly
100 shots to make and will score one point if the ball passes through the hoop and zero point if it doesn't. On his first try, he makes a basket, but unfortunately, he missed the next one. However, for each throw, the probability of him scoring depends on the fraction of throws he has already made. For example, if he has made
40
23
baskets after making 40 shots, the probability of him making a basket on his
41
st
shot is
40
23
. Now, the question is, what is the probability that he makes exactly
50 baskets after taking all 100 shots (including the first two)?",  Probability,  Hard
Gas Stations on Circular Trek, "Imagine you're driving on a circular race track with no gas in your car's tank. You notice that there are
N gas cans scattered at different points on the track, and the total amount of gas in these cans is exactly enough to complete one full lap. Is it possible to choose a starting position on the track where you can pick up all the gas cans and complete the circle without running out of gas?",  Puzzles,  Hard
Counting on friends, "There is a party of
N people, and the friendships there are symmetric. Symmetric means that if
A is friends with
B, then
B is in turn friends with A. Is it true that there are at-least two people with same number of friends?",  Discrete Maths,  Easy
Rolling the bullet, "Two bullets are put into a gun's round barrel consecutively, which has capacity of
6. The gun is shot once, but no bullet is fired. Does rolling the barrel (shuffling) before next shot increase the probability of firing a bullet ?",  Puzzles,  Easy
Dice game, "Suppose you are playing a game where for every roll of dice and you get paid based on the number it shows . If the dice shows
4,
5, or
6, you get to roll again and add the value to your overall payout. If the dice shows
1,
2, or
3, the game ends and you can't roll again. What is the average amount of money you can expect to win from this game?",  Expected Value,  Medium
Move to the North, "How many points are there on the globe, so that if you walk
1km South, then
1km East and then
1km North, you reach the place where you started?",  Puzzles,  Medium
Dynamic card game, "A new card game is available at a casino. It uses a standard deck of
8 cards, half of which are red and half are black. The dealer will draw cards one by one, without returning them to the deck. You have the power to stop the game at any point. Each time a red card is drawn, you win
1 dollar, but if a black card is drawn, you lose
1 dollar. To maximise your expected payoff, what is the best strategy for stopping the game?",  Expected Value,  Medium
Guess the Toss, "A and
B are in a team called
AB, playing against
C. If
AB team wins it gets Rs
3, nothing otherwise.",  Probability,  Easy
Joint default probability, "Bond
A has a
50% chance of defaulting next year while Bond
B has a
30% chance of defaulting. What is the range of probability that at least one bond defaults and what is the range of their correlation?",  Probability,  Hard
Counterfeit coins II, "Imagine you are presented with 5 bags, each containing 100 coins. The catch is that you do not know what type of coin is in each bag, as each bag may contain coins weighing either
9 grams,
10 grams, or
11 grams. However, you do have access to a digital scale that can accurately measure the weight of the coins. How many times would you need to use the scale to determine the type of coin each bag contains?",  Puzzles,  Medium
Die Sum II, "On average, how many times must a fair,
n-sided die be rolled and summed before the sum reaches at least
n? Compute for n = 4",  Expected Value,  Hard
Unfair coin, "You have been given a thousand coins to study. One of these coins has heads on both sides, while the remaining
999 are fair coins. You pick a coin at random and flip it ten times. To your surprise, the coin turns up heads every time. What is the likelihood that the coin you picked is the one with two heads?",  Probability,  Easy
Prisoner's Hat, "100 prisoners are lined up and assigned a random hat, either red or blue. There can be any number of red hats. Each prisoner can see the hats in front of him but not behind. Starting with the prisoner in the back of the line and moving forward, they must each, in turn, say only one word which must be "red" or "blue". If the word matches their hat color they are released, if not, they are killed on the spot. They can hear each others answers, no matter how far they are on the line.",  Puzzles,  Easy
Random High Fives on Chessboard, "64 people are standing on an
8×8 chessboard, facing randomly chosen neighbours. If two people are facing each other, they will give each other a high five. On average, how many high fives can we expect to see?",  Expected Value,  Medium
Clan Size, "The people in a country are partitioned into clans. In order to estimate the average size of a clan, a survey is conducted where 1000 randomly selected people are asked to state the size of the clan to which they belong. Can you compute an estimate average clan size from the data collected? If yes, how?",  Discrete Maths,  Easy
Poker hands, "Imagine you are playing a game of poker. In this game, each player is dealt a hand of five cards from a deck of 52 cards. Each card has a specific value and belongs to one of four suits. The values range from
2 to
10, as well as Jack, Queen, King, and Ace. The suits are spades, hearts, clubs, and diamonds.",  Probability,  Easy
Color Complex, "Consider a infinite 2D complex plane, all the integer-component points are coloured either White, Black or Brown. For example
(0,0) might be black,
(1,2) might be white and so on",  Puzzles,  Medium
Infinity & Beyond, "Suppose you have a hotel which has one floor with infinite number of rooms in a row and all of them are occupied.",  Puzzles,  Medium
Duck & Fox, "A duck is swimming at the center of a circular lake. A fox is waiting at the shore, not able to swim, willing to eat the duck. It may move around the whole lake with a speed four times faster than the duck can swim. As soon as duck reaches the surface, it can fly, but not within the pond. Can the duck always reach the shore without being eaten by the fox?",  Puzzles,  Easy
Second Chance, "Roll a die, and you get paid what the dice shows. But if you want, you can request a second chance & roll the die again; get paid what the second roll shows instead of the first. What is the expected value?",  Expected Value,  Medium
Messing with Envelops, "There are
n letters and
n envelopes. Your servant puts the letters randomly in the envelopes so that each letter is in one envelope and all envelopes have exactly one letter. (Effectively a random permutation of n numbers chosen uniformly). Calculate the expected number of envelopes with correct letter inside them.",  Expected Value,  Easy
Getting fair result from unfair coin, "We have a weighted coin which shows a Head with probability
p, (
0.5<p<1). We need to get a fair toss from this. What is the minimum number of tosses this coin do we need so that we can have probability of winning = losing = 50%?",  Probability,  Easy
Colored Runs of Cards, "There are
26 black(B) and
26 red(R) cards in a standard deck. A run is number of blocks of consecutive cards of the same color. For example, a sequence RRRRBBBRBRB of only 11 cards has 6 runs; namely, RRRR, BBB, R, B, R, B. Find the expected number of runs in a shuffled deck of cards.",  Expected Value,  Medium
Enclosing The Center, "N points are chosen at random on the cicumference of a circle. A convex
n-gon (
n sided polygon) is drawn by joining these
n points. What is the probability that the center of circle lies inside the region of
n-gon, if
N=7,n=7?",  Probability,  Medium
Max Number of Collinear Points, "Given n points on a
2D plane, find the equation of the line with maximum number of collinear points. What is the time complexity of your algorithm?",  Geometry,  Medium
Catching the Spy, "A spy is located on a one-dimensional line. At time
0, the spy is at location
A. With each time interval, the spy moves
B units to the right (if
B is negative, the spy is moving left).
A and
B are fixed integers, but they are unknown to you. You are to catch the spy.",  Algorithms,  Hard
Screwy Pirates, "Five pirates need to divide
100 Gold Coins. Pirates have hierarchy, from Level
5 to level
1. The level-
5 pirate proposes a division plan and all the pirates vote on it. If at least
50 of the pirates agree on the plan, the gold is split according to the proposal. If not, level-
5 pirate is kicked from the ship, and the level-
4 pirate now proposes a plan. This process continues until a proposal is accepted. All pirates are extremely smart and extremely greedy. What is the max amount of gold that the level 5 pirate can keep for himself?",  Puzzles,  Easy
Sharing a Secret, "A group of
5 people want to keep their secret document in a safe. They want to make sure that in future, only a majority (>=3) can open the safe. So they want to put some locks on the safe, each of the locks have to be opened to access the safe. Each lock can have multiple keys; but each key only opens one lock. How many locks are required at the minimum?",  Combinatorics,  Hard
Fork in Road, "A traveler wants to go to the mystic. He meets a pair of twins at a fork in the road: one path leads to the jungle, the other to the mystic. One of the twins always says the truth, the other always lies (but you don't know who says the truth and who always lies). Is it possible to find the path that goes to the mystic from a single yes/no question from one of the twins? If yes, which one ? If no, why ?",  Strategy Game,  Easy
Die Sum I, "We roll
n dice and sum the highest 3. What is the probability that the sum is
18? Compute for
n=4",  Probability,  Easy
